outcome,case_type_encoded,year,court,jurisdiction,tags,text
copyright infringement not found,0,2013,United States District Court for the Southern District of New York,2nd Circuit,"computer program, education, graphic, internet, music, news reporting, research, scholarship",
copyright infringement found,0,2013,United States District Court for the District of Minnesota,8th Circuit,"internet, research",
pending,0,1997,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, graphic, music, news reporting, research, scholarship, unpublished",
copyright infringement found,0,2000,United States District Court for the Northern District of Illinois,7th Circuit,"audiovisual, education, film, graphic, music, photograph, research, unpublished",
copyright infringement not found,0,2001,United States District Court for the Southern District of New York,2nd Circuit,internet,
copyright infringement not found,0,2005,United States District Court for the Southern District of New York,2nd Circuit,,
copyright infringement found,0,2012,United States District Court for the Western District of Washington,9th Circuit,"commentary, education, internet, music, news reporting, parody, research, scholarship, unpublished",
pending,0,2010,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, music, news reporting, research, scholarship, unpublished",
pending,0,1988,United States District Court for the Southern District of New York,2nd Circuit,education,
copyright infringement found,0,1991,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, film, research, scholarship, unpublished",
copyright infringement not found,0,2019,United States District Court for the Eastern District of Illinois,7th Circuit,"audiovisual, commentary, education, film, graphic, music, news reporting, research, scholarship, textual",
copyright infringement not found,0,2012,United States Bankruptcy Court for the Southern District of Ohio,6th Circuit,internet,
copyright infringement found,0,1988,United States District Court for the Southern District of New York,2nd Circuit,"education, graphic, photograph, research, textual",
copyright infringement found,0,2012,United States Court of Appeals for the Fourth Circuit,4th Circuit,"internet, research",
copyright infringement found,0,2015,United States District Court for the Northern District of California,9th Circuit,"computer program, film",
copyright infringement not found,0,1992,United States District Court for the Northern District of Ohio,6th Circuit,"research, textual",
copyright infringement found,0,2005,United States District Court for the Central District of California,9th Circuit,"audiovisual, education, film, graphic, music, news reporting, photograph, research, scholarship",
fair use found,0,1969,United States District Court for the Southern District of New York,2nd Circuit,research,
fair use not found,0,2007,Wisconsin Supreme Court,7th Circuit,"audiovisual, education, graphic, internet, music",
copyright infringement found,0,2013,United States District Court for the Northern District of Mississippi,5th Circuit,"drawing, education, film, music, news reporting, painting, parody, research, scholarship",
copyright infringement not found,0,1994,United States District Court for the Southern District of New York,2nd Circuit,"education, film, graphic, music, news reporting, painting, research, scholarship",
copyright infringement found,0,1976,United States District Court for the Southern District of New York,2nd Circuit,"film, graphic, parody, research",
copyright infringement not found,0,2009,United States District Court for the Northern District of Alabama,11th Circuit,"painting, parody",
copyright infringement found,0,1998,United States District Court for the Northern District of Illinois,7th Circuit,"computer program, education, internet, music, news reporting, research, scholarship",
copyright infringement not found,0,1910,United States Court of Appeals for the Second Circuit,2nd Circuit,,
copyright infringement found,0,2007,United States Court of Appeals for the Sixth Circuit,6th Circuit,"commentary, education, graphic, music, news reporting, parody, research, scholarship, unpublished",
copyright infringement not found,0,1924,Louisiana Court of Appeal,5th Circuit,,
copyright infringement not found,0,1995,United States District Court for the Southern District of New York,2nd Circuit,"education, music, news reporting, research, scholarship, unpublished",
fair use found,0,2012,United States District Court for the Middle District of Florida,11th Circuit,"internet, music",
fair use found,0,2002,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, music",
pending,0,2002,United States District Court for the Northern District of California,9th Circuit,"audiovisual, education, graphic, internet, music, news reporting, research, scholarship",
copyright infringement not found,0,2006,United States District Court for the Northern District of Georgia,11th Circuit,"drawing, education, graphic, music, news reporting, parody, research, scholarship",
copyright infringement found,0,2002,United States District Court for the Southern District of Ohio,6th Circuit,"internet, music, unpublished",
copyright infringement found,0,2013,United States Court of Appeals for the Second Circuit,2nd Circuit,"drawing, graphic, photograph",
pending,0,2008,United States Court of Federal Claims,Federal Circuit,"education, film, graphic, music, photograph, sculpture, unpublished",
copyright infringement not found,0,2018,United States District Court for the Southern District of Illinois,7th Circuit,"drawing, education, film, graphic, internet, photograph",
copyright infringement found,0,1977,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, film, graphic, news reporting, parody, photograph, research, scholarship",
pending,0,2012,United States District Court for the District of Maryland,4th Circuit,"commentary, drawing, education, film, graphic, internet, music, news reporting, parody, photograph, research, scholarship",
copyright infringement not found,0,2008,United States District Court for the Eastern District of California,9th Circuit,"education, music, photograph, unpublished",
copyright infringement not found,0,1989,United States District Court for the Northern District of Illinois,7th Circuit,"education, graphic",
copyright infringement found,0,2016,United States District Court for the District of Oregon,9th Circuit,"film, music",
copyright infringement found,0,1989,United States Court of Appeals for the Second Circuit,2nd Circuit,"drawing, education, film, graphic, research, scholarship, unpublished",
copyright infringement not found,0,2013,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, film, internet, music, news reporting, painting, parody, photograph, research, satire, scholarship, unpublished",
fair use found,0,2015,United States District Court for the Eastern District of Louisiana,5th Circuit,"drawing, film, graphic, internet",
copyright infringement found,0,2015,United States District Court for the Northern District of California,9th Circuit,"internet, research, unpublished",
copyright infringement not found,0,2017,United States District Court for the District of Columbia,District of Columbia Circuit,"commentary, education, film, graphic, internet, music, news reporting, research, scholarship, unpublished",
fair use found,0,1981,United States District Court for the Northern District of Georgia,11th Circuit,"education, news reporting, photograph, research, scholarship",
copyright infringement not found,0,2014,United States District Court for the Northern District of Illinois,7th Circuit,"drawing, film, graphic, internet, music",
copyright infringement not found,0,2006,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, education, graphic, internet, music, news reporting, research, scholarship",
copyright infringement found,0,2008,United States District Court for the Southern District of New York,2nd Circuit,"education, internet, research",
copyright infringement found,0,2014,United States District Court for the District of Maryland,4th Circuit,film,
copyright infringement not found,0,1986,United States District Court for the Southern District of New York,2nd Circuit,graphic,
copyright infringement not found,0,2012,United States District Court for the Southern District of New York,2nd Circuit,"computer program, digitization, film, graphic, music, research",
copyright infringement found,0,2013,United States District Court for the District of Nevada,9th Circuit,"drawing, film, internet",
pending,0,2016,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, drawing, education, film, music, news reporting, photograph, research, scholarship",
copyright infringement not found,0,2009,United States District Court for the Northern District of California,9th Circuit,"film, internet, music",
fair use not found,0,2000,United States Court of Appeals for the Second Circuit,2nd Circuit,"film, graphic, music, research",
copyright infringement found,0,2002,United States Court of Appeals for the Ninth Circuit,9th Circuit,"photograph, unpublished",
copyright infringement not found,0,2019,United States District Court for the Northern District of California,9th Circuit,"commentary, education, graphic, internet, music, news reporting, parody, research, scholarship",
copyright infringement found,0,1986,United States Court of Appeals for the Ninth Circuit,9th Circuit,"education, film, graphic, music, news reporting, parody, research",
copyright infringement found,0,2005,United States Court of Appeals for the Second Circuit,2nd Circuit,"drawing, film, music",
copyright infringement not found,0,2010,United States District Court for the Central District of California,9th Circuit,"education, film, graphic, music, news reporting, research, scholarship, unpublished",
copyright infringement not found,0,2001,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"commentary, drawing, education, music, news reporting, parody, research, satire, scholarship, unpublished",
copyright infringement not found,0,2008,United States District Court for the Northern District of New York,2nd Circuit,"internet, photograph",
copyright infringement found,0,2015,Court of Appeal of the State of California,9th Circuit,"computer program, drawing, film, internet",
copyright infringement found,0,1980,United States District Court for the Southern District of New York,2nd Circuit,"music, parody, research, satire",
copyright infringement found,0,2002,United States Court of Appeals for the Second Circuit,2nd Circuit,music,
pending,0,2010,United States Court of Appeals for the Fourth Circuit,4th Circuit,"commentary, drawing, education, film, graphic, music, news reporting, research, scholarship",
copyright infringement found,0,2015,United States Court of Appeals for the Second Circuit,2nd Circuit,"film, music, news reporting, parody, research, scholarship",
copyright infringement not found,0,2012,United States District Court for the Southern District of New York,2nd Circuit,"audiovisual, internet, textual",
fair use not found,0,2014,United States District Court for the Central District of California,9th Circuit,"drawing, internet, photograph",
copyright infringement not found,0,2018,United States District Court for the Middle District of Florida,11th Circuit,,
copyright infringement not found,0,1995,United States District Court for the Northern District of New York,2nd Circuit,"education, music, news reporting, research, scholarship",
copyright infringement not found,0,1989,United States Court of Appeals for the Second Circuit,2nd Circuit,"research, scholarship, unpublished",
copyright infringement found,0,2012,United States Court of Appeals for the Ninth Circuit,9th Circuit,"commentary, education, graphic, music, news reporting, parody, photograph, research, scholarship, unpublished",
pending,0,1977,United States District Court for the District of New Jersey,3rd Circuit,"commentary, film, research",
copyright infringement not found,1,2001,United States Court of Appeals for the Fifth Circuit,5th Circuit,"computer program, education, internet, music, news reporting, research",
copyright infringement found,1,2011,United States District Court for the District of New Jersey,3rd Circuit,"drawing, film, graphic, internet, music, painting, photograph",
copyright infringement not found,1,2002,United States Court of Appeals for the Fifth Circuit,5th Circuit,"education, graphic",
copyright infringement found,1,1996,United States Court of Appeals for the Eleventh Circuit,11th Circuit,computer program,
copyright infringement not found,1,1984,United States Court of Appeals for the Second Circuit,2nd Circuit,"graphic, research, scholarship",
copyright infringement not found,1,1991,United States District Court for the Southern District of New York,2nd Circuit,"graphic, music",
copyright infringement found,1,2005,United States Court of Appeals for the Seventh Circuit,7th Circuit,"education, internet, music",
copyright infringement found,1,2005,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,education,
copyright infringement not found,1,2011,United States Court of Appeals for the Second Circuit,2nd Circuit,"internet, news reporting, research, textual",
copyright infringement found,1,2011,United States Court of Appeals for the Sixth Circuit,6th Circuit,"music, unpublished",
copyright infringement not found,1,2013,United States District Court for the District of Maryland,4th Circuit,"drawing, education, graphic, music, photograph, unpublished",
copyright infringement found,1,2007,United States District Court for the Northern District of California,9th Circuit,"film, internet, research, unpublished",
copyright infringement not found,1,2006,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, education, film, graphic, music, news reporting, parody, research, scholarship, textual, unpublished",
copyright infringement found,1,2017,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, graphic, music, news reporting, painting, photograph, research, scholarship, unpublished",
copyright infringement not found,1,1987,United States District Court for the Northern District of California,9th Circuit,"drawing, film, music, unpublished",
copyright infringement found,1,2008,United States Court of Appeals for the Ninth Circuit,9th Circuit,"audiovisual, education, film, graphic, music, news reporting, photograph, research, scholarship",
copyright infringement found,1,2002,United States Court of Appeals for the Ninth Circuit,9th Circuit,"photograph, unpublished",
copyright infringement not found,1,2014,United States Court of Appeals for the Seventh Circuit,7th Circuit,"commentary, education, music, photograph",
copyright infringement found,1,1990,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,computer program,
copyright infringement found,1,2017,United States District Court for the Eastern District of Texas,5th Circuit,"commentary, education, film, music, parody, photograph, research, unpublished",
copyright infringement found,1,1997,United States Court of Appeals for the Second Circuit,2nd Circuit,"drawing, graphic, textual",
copyright infringement found,1,1995,United States District Court for the Southern District of New York,2nd Circuit,"commentary, photograph, research",
copyright infringement not found,1,2009,United States District Court for the Central District of California,9th Circuit,"education, graphic, internet, news reporting, research, scholarship",
copyright infringement found,1,1987,United States District Court for the Southern District of New York,2nd Circuit,"drawing, parody, research",
copyright infringement not found,1,2018,United States District Court for the Eastern District of Virginia,4th Circuit,"commentary, education, film, internet, music, news reporting, photograph, research, unpublished",
pending,1,2004,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, education, internet, music, news reporting, parody, research, scholarship, unpublished",
copyright infringement found,1,2016,United States District Court for the Middle District of North Carolina,4th Circuit,"education, graphic, music",
pending,1,1994,United States District Court for the District of Minnesota,8th Circuit,"drawing, education, graphic, news reporting, research, scholarship, unpublished",
copyright infringement found,1,1982,United States District Court for the Southern District of New York,2nd Circuit,music,
copyright infringement not found,1,2007,United States District Court for the Central District of California,9th Circuit,graphic,
copyright infringement found,1,1973,United States District Court for the Southern District of New York,2nd Circuit,"music, research, unpublished",
copyright infringement found,1,2009,United States District Court for the Central District of California,9th Circuit,"film, graphic, photograph",
copyright infringement not found,1,1988,United States District Court for the Southern District of New York,2nd Circuit,"commentary, drawing, education, news reporting, research, scholarship, unpublished",
copyright infringement found,1,2016,United States District Court for the District of Minnesota,8th Circuit,"internet, photograph",
copyright infringement not found,1,2015,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, music, news reporting, photograph, unpublished",
copyright infringement not found,1,1996,United States Court of Appeals for the Ninth Circuit,9th Circuit,"education, music",
pending,1,2004,United States Court of Appeals for the Eighth Circuit,8th Circuit,"education, music",
copyright infringement not found,1,2012,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"drawing, film, graphic, painting, parody, photograph",
copyright infringement found,1,1998,United States District Court for the Southern District of New York,2nd Circuit,"drawing, film, research, unpublished",
copyright infringement found,1,2012,United States Court of Appeals for the First Circuit,1st Circuit,"education, internet, painting",
copyright infringement found,1,2013,United States Court of Appeals for the Third Circuit,3rd Circuit,"film, graphic, music",
copyright infringement not found,1,1981,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, education, film, music, news reporting, parody, research, satire, scholarship",
copyright infringement not found,1,2013,Minnesota Court of Appeals,8th Circuit,"education, research, scholarship",
copyright infringement found,1,1991,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"commentary, education, news reporting, unpublished",
copyright infringement not found,1,2005,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, music, news reporting, painting, parody, photograph, research, scholarship, unpublished",
copyright infringement found,1,2011,United States District Court for the Eastern District of Wisconsin,7th Circuit,"film, internet, music, parody",
copyright infringement found,1,1976,United States District Court for the Southern District of New York,2nd Circuit,"graphic, music, research, unpublished",
pending,1,1995,United States District Court for the District of South Carolina,4th Circuit,commentary,
copyright infringement not found,1,2015,United States District Court for the Middle District of Florida,11th Circuit,"drawing, internet",
copyright infringement found,1,1984,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, education, film, music",
copyright infringement not found,1,1992,United States District Court for the District of South Carolina,4th Circuit,,
pending,1,2010,United States District Court for the Southern District of New York,2nd Circuit,"internet, music",
copyright infringement found,1,1986,United States District Court for the Northern District of Illinois,7th Circuit,"film, graphic",
copyright infringement not found,1,1997,United States District Court for the Eastern District of Michigan,6th Circuit,"graphic, internet, music, research, textual",
copyright infringement found,1,1938,United States District Court for the Southern District of New York,2nd Circuit,"drawing, film, music, photograph",
copyright infringement found,1,2017,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, music, news reporting, parody, photograph, research, scholarship, textual",
copyright infringement found,1,2014, ,2nd Circuit,"commentary, drawing, education, music, news reporting, research, scholarship, textual, unpublished",
copyright infringement not found,1,2008,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, graphic, music, news reporting, painting, photograph, research, scholarship, textual, unpublished",
copyright infringement not found,1,2009,United States District Court for the Northern District of California,9th Circuit,"computer program, drawing, graphic",
copyright infringement not found,1,1959,United States District Court for the Southern District of California,9th Circuit,"graphic, research",
copyright infringement found,1,2013,United States District Court for the Northern District of Georgia,11th Circuit,"education, film, graphic, music, research, textual",
copyright infringement found,1,2011,United States Court of Appeals for the First Circuit,1st Circuit,"education, internet, music",
copyright infringement found,1,1986,United States Court of Appeals for the District of Columbia Circuit,District of Columbia Circuit,news reporting,
copyright infringement found,1,2009,United States Court of Appeals for the Fifth Circuit,5th Circuit,"graphic, internet",
copyright infringement not found,1,2009,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,"film, music, news reporting, painting, photograph, research, scholarship, textual",
copyright infringement found,1,2016,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,internet,
copyright infringement not found,1,2013,United States District Court for the District of Maryland,4th Circuit,"drawing, education, graphic, music, photograph, unpublished",
copyright infringement not found,1,2000,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, internet, music",
copyright infringement found,1,1978,United States Court of Appeals for the Ninth Circuit,9th Circuit,"commentary, drawing, graphic, music, parody, research, satire",
copyright infringement found,1,1992,United States District Court for the Northern District of California,9th Circuit,"commentary, computer program, education, film, unpublished",
copyright infringement found,1,1980,United States District Court for the Southern District of New York,2nd Circuit,"audiovisual, education, film, graphic, news reporting, photograph, research",
copyright infringement not found,1,1986,United States District Court for the Southern District of New York,2nd Circuit,"drawing, education, graphic, news reporting, research, scholarship, unpublished",
copyright infringement not found,1,2009,United States District Court for the District of Massachusetts,1st Circuit,"commentary, drawing, education, internet, music, news reporting, research, scholarship, sculpture",
copyright infringement not found,1,2015,United States Court of Appeals for the Seventh Circuit,7th Circuit,research,
copyright infringement not found,1,2008,United States District Court for the Middle District of Florida,11th Circuit,"internet, music, photograph, research",
copyright infringement not found,1,1990,United States District Court for the Southern District of New York,2nd Circuit,"graphic, music, photograph, research",
pending,1,2016,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, graphic, music, news reporting, photograph, research, textual",
copyright infringement not found,1,1987,United States District Court for the District of Kansas,10th Circuit,"education, graphic, news reporting, research, scholarship",
copyright infringement found,1,1998,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, education, graphic, music, news reporting, research, scholarship, textual",
copyright infringement found,1,1992,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, drawing, education, film",
copyright infringement not found,1,2013,United States District Court for the Southern District of New York,2nd Circuit,"computer program, education, graphic, internet, music, news reporting, research, scholarship",
copyright infringement not found,1,2005,United States District Court for the Southern District of New York,2nd Circuit,,
copyright infringement found,1,2012,United States Court of Appeals for the Fourth Circuit,4th Circuit,"internet, research",
copyright infringement found,1,2007,Wisconsin Supreme Court,7th Circuit,"audiovisual, education, graphic, internet, music",
copyright infringement found,1,1998,United States District Court for the Northern District of Illinois,7th Circuit,"computer program, education, internet, music, news reporting, research, scholarship",
copyright infringement not found,1,2006,United States District Court for the Northern District of Georgia,11th Circuit,"drawing, education, graphic, music, news reporting, parody, research, scholarship",
copyright infringement found,1,2013,United States Court of Appeals for the Second Circuit,2nd Circuit,"drawing, graphic, photograph",
copyright infringement not found,1,1981,United States District Court for the Northern District of Georgia,11th Circuit,"education, news reporting, photograph, research, scholarship",
copyright infringement not found,1,2014,United States District Court for the Northern District of Illinois,7th Circuit,"drawing, film, graphic, internet, music",
pending,1,2016,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, drawing, education, film, music, news reporting, photograph, research, scholarship",
copyright infringement not found,1,2009,United States District Court for the Northern District of California,9th Circuit,"film, internet, music",
copyright infringement not found,1,2003,United States Court of Appeals for the Ninth Circuit,9th Circuit,"commentary, education, graphic, music, news reporting, parody, photograph, satire, unpublished",
pending,1,1977,United States District Court for the District of New Jersey,3rd Circuit,"commentary, film, research",
pending,1,2023,United States District Court for the Northern District of California,-8,,
copyright infringement found,1,2020,Cook County Illinois,-8,,
pending,1,2019,United States District Court for the District of Massachusetts,-8,,
pending,1,-8,Supreme Court of Texas,-8,,
pending,1,2023,United States District Court for the Southern District of New York,-8,,
copyright infringement found,1,2023,United States District Court for the District of New Jersey,-8,,
pending,1,2023,United States District Court for the Northern District of California,-8,,
pending,1,2023,United States District Court for the Southern District of New York,-8,,
pending,1,2024,United States District Court for the Southern District of New York,-8,,
pending,1,2021,United States District Court for the Eastern District of Louisiana,-8,,
copyright infringement not found,1,2023,United States District Court for the Northern District of California,-8,,
copyright infringement not found,1,2023,United States District Court for the Northern District of California,-8,,
copyright infringement not found,1,2023,United States District Court for the Middle District of Tennessee,-8,music,
copyright infringement not found,1,2024,United States District Court for the Southern District of New York,-8,,
copyright infringement found,1,2023,United States District Court for the District of Delaware,-8,,
copyright infringement not found,1,2023,United States District Court for the Southern District of New York,-8,,
copyright infringement not found,1,2023,United States District Court for the Northern District of California,-8,,
copyright infringement not found,1,2023,United States District Court for the Northern District of California,-8,,
pending,1,-8,United States District Court for the Southern District of New York,-8,,
pending,1,2017,United States District Court for the Northern District of California,-8,,
copyright infringement found,1,2024,United States District Court for the Southern District of New York,-8,,
pending,1,-8,-8,-8,,
copyright infringement not found,1,-8,United States District Court for the Northern District of California,-8,,
pending,1,2024,United States District Court for the Southern District of New York,-8,,
pending,1,2023,-8,-8,,
copyright infringement found,1,-8,-8,-8,,
pending,1,2020,United States District Court for the District of Delaware,-8,research,
pending,1,2023,United States District Court for the District of Delaware,-8,research,
copyright infringement not found,1,2023,United States District Court for the Northern District of California,-8,,
pending,1,2019,United States District Court for the Northern District of California,-8,photograph,
pending,1,2024,United States District Court for the Northern District of California,-8,,
copyright infringement not found,1,2023,United States District Court for the Southern District of New York,-8,"commentary, education, internet, parody, photograph",
copyright infringement found,1,-8,Supreme Court of the United States,-8,"film, graphic, music, photograph, unpublished",
pending,1,2021,Supreme Court of the United States,-8,,
pending,1,2019,Supreme Court of the United States,-8,computer program,
pending,1,2023,Supreme Court of the United States,-8,internet,
copyright infringement not found,1,2023,United States Court of Appeals for the District of Columbia Circuit,-8,,
copyright infringement not found,1,-8,United States District Court for the District of Columbia,-8,research,
copyright infringement not found,1,-8,United States Court of Appeals for the Ninth Circuit,-8,music,
pending,1,-8,Supreme Court of the United States,-8,computer program,
pending,1,-8,United States Court of Appeals for the Ninth Circuit,-8,,
pending,1,-8,United States Court of Appeals for the Fourth Circuit,-8,,
copyright infringement found,1,-8,Supreme Court of the United States,-8,research,
copyright infringement found,1,-8,United States Court of Appeals for the Ninth Circuit,-8,"music, unpublished",
copyright infringement found,1,2019,Supreme Court of the United States,-8,,
copyright infringement found,1,2018,United States Court of Appeals for the Fifth Circuit,-8,,
copyright infringement found,1,-8,United States District Court for the Southern District of Texas,-8,unpublished,
copyright infringement found,1,-8,Texas Courts of Appeals,-8,"graphic, music, news reporting, painting, photograph, research, scholarship, sculpture",
copyright infringement found,1,-8,United States Court of Appeals for the Fourth Circuit,-8,"film, photograph",
copyright infringement found,1,-8,Supreme Court of the United States,-8,,
copyright infringement found,1,-8,United States Court of Appeals for the Ninth Circuit,-8,photograph,
copyright infringement not found,1,-8,Supreme Court of the United States,-8,,
copyright infringement not found,1,-8,United States Court of Appeals for the Second Circuit,-8,music,
pending,1,-8,United States Court of Appeals for the District of Columbia Circuit,-8,,
copyright infringement not found,1,-8,United States Court of Appeals for the District of Columbia Circuit,-8,music,
pending,1,-8,United States Court of Appeals for the District of Columbia Circuit,-8,internet,
copyright infringement not found,1,-8,United States Court of Appeals for the Second Circuit,-8,photograph,
pending,1,-8,-8,2nd Circuit,,
pending,1,-8,United States District Court for the Southern District of New York,-8,photograph,
pending,1,-8,United States Court of Appeals for the Fourth Circuit,-8,,
copyright infringement found,1,-8,-8,2nd Circuit,music,
pending,1,2014,United States District Court for the Northern District of Texas,-8,,
pending,1,-8,United States Court of Appeals for the Sixth Circuit,-8,,
copyright infringement found,1,-8,Florida Supreme Court,-8,"internet, music",
pending,1,2017,United States Court of Appeals for the Fourth Circuit,-8,,
pending,1,2017,United States District Court for the Southern District of New York,-8,"commentary, education, film",
copyright infringement not found,1,2018,United States Court of Appeals for the Ninth Circuit,-8,,
pending,1,2015,United States District Court for the Southern District of New York,-8,"graphic, photograph",
copyright infringement found,1,2015,United States District Court for the Southern District of New York,-8,,
copyright infringement not found,1,2017,-8,2nd Circuit,"internet, photograph",
copyright infringement not found,1,2016,Supreme Court of the United States,-8,"drawing, graphic, painting, sculpture",
copyright infringement not found,1,2016,United States Court of Appeals for the Ninth Circuit,-8,"film, internet",
copyright infringement found,1,-8,United States Court of Appeals for the Fifth Circuit,-8,,
pending,1,2016,United States Court of Appeals for the Ninth Circuit,-8,,
pending,1,-8,United States District Court for the Southern District of New York,-8,,
copyright infringement not found,1,-8,-8,2nd Circuit,,
pending,1,2015,-8,2nd Circuit,"internet, music",
pending,1,2016,Supreme Court of the United States,-8,,
pending,1,2016,United States Court of Appeals for the Ninth Circuit,-8,,
pending,1,2020,-8,-8,education,
copyright infringement not found,1,2016,United States District Court for the Northern District of Illinois,-8,"audiovisual, film, internet",
copyright infringement not found,1,2015,United States Court of Appeals for the Second Circuit,-8,"digitization, research",
pending,1,2015,United States Court of Appeals for the Ninth Circuit,-8,,
pending,1,2015,United States Court of Appeals for the Ninth Circuit,-8,"internet, music",
pending,1,2015,United States Court of Appeals for the Ninth Circuit,-8,film,
copyright infringement not found,1,2014,United States Court of Appeals for the Eleventh Circuit,-8,"education, internet, music, research, scholarship",
copyright infringement not found,1,1905,United States Court of Appeals for the Seventh Circuit,-8,"commentary, education, music, photograph",
pending,1,2014,Supreme Court of the United States,-8,"audiovisual, internet",
copyright infringement not found,1,2013,Supreme Court of the United States,-8,film,
copyright infringement not found,1,-8,-8,2nd Circuit,"painting, photograph",
copyright infringement found,1,2012,Supreme Court of the United States,-8,"graphic, research, unpublished",
copyright infringement not found,1,2011,United States Court of Appeals for the Eighth Circuit,-8,internet,
copyright infringement not found,1,2012,United States Court of Appeals for the Seventh Circuit,-8,"commentary, drawing, film, internet, parody, satire",
copyright infringement found,1,-8,United States District Court for the District of Delaware,-8,research,
pending,1,-8,United States District Court for the Northern District of California,-8,,
copyright infringement found,1,2023,United States District Court for the Southern District of New York,-8,commentary,
pending,1,-8,United States District Court for the Northern District of California,-8,textual,
copyright infringement found,1,-8,United States District Court for the Northern District of California,-8,internet,
copyright infringement found,1,-8,United States District Court for the Northern District of California,-8,,
pending,1,-8,United States District Court for the Southern District of New York,-8,,
pending,1,2023,United States District Court for the Southern District of New York,-8,"internet, research, textual",
pending,1,-8,United States District Court for the District of Delaware,-8,"film, graphic, photograph",
copyright infringement found,1,-8,United States District Court for the Northern District of California,-8,,
copyright infringement found,1,-8,United States District Court for the Southern District of New York,-8,"commentary, drawing, education, internet, photograph, research",
copyright infringement found,1,2023,-8,-8,music,
pending,1,2016,-8,-8,photograph,
pending,1,2018,-8,-8,painting,
pending,1,-8,-8,-8,"internet, music",
pending,1,2019,-8,-8,,
copyright infringement not found,1,2017,United States District Court for the Central District of California,-8,,
pending,1,2016,United States District Court for the District of Arizona,-8,photograph,
pending,1,2017,United States District Court for the Central District of California,-8,,
copyright infringement not found,1,2017,-8,-8,film,
copyright infringement found,1,2017,-8,-8,photograph,
copyright infringement not found,1,2017,United States District Court for the Central District of California,-8,photograph,
copyright infringement not found,1,2017,United States District Court for the Central District of California,-8,,
pending,1,2016,-8,-8,graphic,
copyright infringement found,1,2017,United States District Court for the Central District of California,-8,internet,
copyright infringement found,1,2016,-8,-8,internet,
copyright infringement found,1,2017,-8,-8,,
copyright infringement found,1,2017,-8,-8,,
pending,1,2021,-8,-8,,
pending,1,2016,-8,-8,"internet, music",
copyright infringement not found,1,-8,-8,-8,,
fair use not found,0,2022,United States Court of Appeals for the Ninth Circuit,9th Circuit,"education, scholarship, research, photograph",
fair use not found,0,2022,United States District Court for the Central District of California,9th Circuit,"painting, drawing, graphic, photograph",
fair use found,0,2022,United States District Court for the Southern District of New York,2nd Circuit,"film, audiovisual, music, parody, satire, commentary",
fair use not found,0,2022,United States District Court for the District of Columbia,District of Columbia Circuit,"education, scholarship, research, textual work, used in government proceeding",
fair use found,0,2022,United States Court of Appeals for the Second Circuit,2nd Circuit,"news reporting, photograph",
fair use not found,0,2022,United States District Court for the Southern District of Texas,5th Circuit,"painting, drawing, graphic, parody, satire",
fair use not found,0,2022,United States District Court for the Southern District of New York,2nd Circuit,"internet, digitization, news reporting, photograph",
fair use found,0,2022,United States Court of Appeals for the Second Circuit,2nd Circuit,"internet, digitization, textual work",
fair use found,0,2022,United States Court of Appeals for the Fifth Circuit,5th Circuit,"education, scholarship, research, internet, digitization, textual work",
fair use not found,0,2021,United States District Court for the Southern District of New York,2nd Circuit,"internet, digitization, photograph, commentary",
fair use found,0,2021,United States District Court for the Eastern District of New York,2nd Circuit,"parody, satire, commentary, sculpture, painting, drawing, graphic",
fair use not found,0,2021,United States Court of Appeals for the Second Circuit,2nd Circuit,"painting, drawing, graphic, photograph, unpublished",
fair use found,0,2021,United States District Court for the Central District of California,9th Circuit,"internet, digitization, news reporting, photograph",
fair use not found,0,2021,United States District Court for the Southern District of New York,2nd Circuit,"internet, digitization, painting, drawing, graphic",
fair use found,0,2021,United States Court of Appeals for the Second Circuit,2nd Circuit,"music, film, audiovisual",
